date,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr),news
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,"Greatest bubble in human history about to burst? USA's $34 trillion debt to trigger a recession, stocks may lose over half their value in a sell-off, says Mark Spitznagel"
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Gautam Adani is facing the biggest trial of his life
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,"Virat Kohli's post gives fans a scare; speculations of divorce with Anushka Sharma, retirement surface"
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Kalpataru Advay—Borivali gets an Illustrious residential landmark
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Education qualifications of Keerthy Suresh's husband-to-be Antony Thattil. His business ventures and their love story
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,IPL 2025 to kick off in March
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,World War III has already begun
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,NTPC Green Energy IPO GMP Today
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,'Come home with me': Tiny robot has emotional conversation with 12 bigger robots before 'kidnapping' them
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Best aggressive hybrid mutual funds
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,UP Police Constable Result 2024 Sarkari Result
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Bank Holidays in Uttar Pradesh
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Bajaj Housing Finance Share Price
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Delhi CM Announcement Live Updates
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Namo Bharat Rapid Rail Launched
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Aditi Rao Hydari Wedding Pics
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Reliance Power share price
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Tata Technologies share price
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Adani Enterprises share price
2022-03-01,17387.15,17646.65,17383.3,17625.7,200456430.0,16181.36,Bank of Baroda share price
